type_concept_id,type_name
3520642,CH7- unscheduled imm. claim (& form)
3521246,Paediatric surveillance admin/form (& [FP/CHS] or [GP/CHS])
3521291,Screening method NOS
3521292,Appointment
3521293,Procedure codes (community)
3521294,Appointment
3521321,Adult echocardiography procedure report
3521323,Educational visit report
3521324,Summary of needs
3521326,Statement of needs
3521327,Confirmatory consultation report
3521329,Targeted history and physical report
3521330,Comprehensive history and physical report
3521335,Pathology report
3521341,Advance directive report
3521352,Drugs supplied paymen form: [FP34D or [GP34A]
3521385,Trainee contract administration
3521531,Stress administration: [monitoring] or [stress]
3521541,Well man admin: [monitoring] or [clinic]
3521544,Well adult admin: [monitoring] or [clinic]
3521547,Epilepsy screen administration
3521556,"Clinic ""B"" monitoring admin."
3521577,Quarter 1 1996 PUSHRODS
3521609,"Clinic ""D"" monitoring administration"
3521630,Falls risk assessment administration
3521825,Read Code Administration 1
3521826,Quarter 4 1991 INDUSTRY
3521829,Quarter 1 1993 SPLENDID
3521830,Quarter 3 1994 WATERLOO
3521831,Quarter 1 1995 RAILWAYS
3521832,Quarter 3 1995 CAMSHAFT
3521833,Quarter 1 1997 HALLIDAY
3521834,Quarter 2 1998 SCHULMAN
3521836,Death administration
3521838,Patient died - to record place (& [place of death])
3521839,"(Post mortem report) or (Fm89 Pt died/med care,PF notif)"
3521844,Hypertension admin: [monitoring] or [clinic]
3521845,On waiting list: [Part 3] or [Part 4]
3521857,Patient encounter administration data
3521858,Diabetes monitoring administration
3521859,Stress monitoring administration
3521882,SC1 - self-certificate administration
3521883,Stress clinic administration
3521885,Well man clinic administration
3521886,Hormone replace clinic admin
3521889,GP13 - ex HM forces registrat
3521893,Life assurance exam admin
3521900,Paediatric surveillance administration
3521904,BUPA claim administration
3521906,Mobility allowance examination administration
3521908,Food poisoning notification administration
3521930,Therapeutic abortion form: [HSA1- green form] or [Form A]
3521935,"Emerg admit (& assess): [Form 5/7] or [Form A,sec 24/25]"
3521936,Certificate: [Court of protection] or [Curator bonis ]
3521937,Diabetes administration: [monitoring] or [clinic]
3521939,"Clinic ""C"" monitoring admin."
3521942,Prevention administration
3521943,Diaphragm follow-up administration
3521944,Appointment administration
3521945,Monitoring administration
3521946,BD8 form
3521952,Aim/goal
3521958,Future
3521959,Outlook
3521960,Outcome
3521965,Patient number: [NHS] or [CHI]
3521966,Death certificate form: [Med A] or [11]
3521967,Medical cert. of still-birth (& Form 6]
3521968,Patient died in: [part 3 accom] or [part 4 accom]
3521969,Night visit: [administration] or [claim] : [[FP81] or [GP81]] or [[higher rate] or [lower rate]]
3521970,Prem1/2 - rent/rates reimbursement (& form)
3521971,IG1/2/3 - improvement grant (& [claim] or [admin])
3521973,Prescription payment: [exemption (& certificate)] or [season ticket]
3521974,Informat request: [RM2-DHSS DMO] or [RM2- DSS RMO]
3521975,(Patient initiated encounter) or (reason for encounter - patient)
3521976,Referred: [encounter] or [by member of PHCT]
3521977,Diaphragm administration: [check] or [follow-up (& cap)]
3521978,Oral contraceptive admin &/or check
3521979,Asthma administration: [monitoring] or [clinic]
3521980,Clinical trial administration (& drug)
3521981,Quarter 2 1993 EXPANDED
3521982,Influenza vaccination administration
3521984,Oral contraceptive check administration
3521985,Well woman monitoring administration
3521986,Stop smoking clinic administration
3521987,Well adult clinic administration
3521988,Confidential patient data
3521989,Employment examination/report administration
3521990,Night visit administration
3521991,Training administration
3521992,Infectious disease notification administration
3521994,Screening administration
3522242,Quarter 1 2002 FAULKNER
3522243,Quarter 3 2002 POITIERS
3522244,Quarter 1 2003 ANTIETAM
3523282,Quarter 4 2003 TALAVERA
3523344,Proactive Personal Preferences - Care Record Element
3523345,Additional Record Locations - Care Record Element
3523401,Hypothyroidism monitoring administration
3523679,Diagnostic imaging request
3524509,Risk to patient
3524802,Dementia monitoring administration
3526277,Quarter 1 2007 BEREZINA
3526679,Bowel cancer screening programme administration
3526805,At high risk of cardiovascular disease monitoring administration
3526868,Disability living allowance representative claim administration
3527421,Arts
3527419,Access to service
3527420,Relative wealth
3527422,Assertiveness
3527423,Belief
3527424,Biological composition
3527425,Blood and immune disorder
3527426,Boundary data
3527427,"Buildings, constructions and points"
3527428,Care worker
3527429,Case control study
3527430,Catering industry
3527431,Census ward level
3527432,Child health
3527433,Child health service
3527434,Child poverty
3527435,Climate
3527436,Climate change
3527437,Clinical network
3527438,Club
3527439,Cohort study
3527440,Communal establishment
3527441,"Communicable diseases, community"
3527442,Community development
3527443,Community health project
3527444,Community project
3527445,Condom distribution
3527446,Confidentiality
3527447,Costing
3527448,Crime prevention
3527449,Cross sectional survey
3527450,Culture
3527451,Delphi method
3527452,Demography
3527453,Dental health
3527454,Deprived area
3527455,Department of Health or National Health Service local policy
3527456,Department of Health or National Health Service national policy
3527457,Department of Health or National Health Service regional policy
3527458,Disability access
3527459,Disability housing
3527460,Disability measure
3527461,Drama therapy
3527462,Economic evaluation
3527463,Economic policy
3527464,Economic system
3527465,Ecstasy
3527466,Education action zone
3527467,Educational standards
3527468,Emergency plan
3527469,Environmental determinant
3527470,Environmental impact assessment
3527471,Environmental policy
3527472,Equal opportunity
3527473,Ergonomic
3527474,Medical error
3527475,Evaluation
3527476,Evidence based practice
3527477,Excluded people
3527478,Expenditure
3527479,Feminism
3527480,Finance
3527481,Fire safety
3527483,Focus group methodology
3527484,Food labelling
3527485,Fuel poverty
3527486,General medical
3527487,Good practice
3527488,Government office
3527489,General practitioner practice area
3527490,Health behaviour maintenance
3527491,Health belief model
3527492,Health impact assessment
3527493,Health information service
3527494,Health intervention
3527495,Health legislation
3527496,Health policy
3527498,Health services and their management
3527499,Health shop
3527500,"Health, public health and health promotion"
3527501,Healthy school
3527502,History
3527503,Holistic approach
3527504,Household waste
3527505,Indicator
3527506,Indoor air pollution
3527507,Information management
3527508,Information media
3527509,Information need
3527510,Information technology
3527511,International organisation
3527512,Job description
3527513,Land use and fertility
3527514,Law
3527515,Leisure activity
3527516,Leisure industry
3527517,Library and information centre
3527518,Life skill
3527519,Literature review
3527520,Local authority area
3527521,Local government
3527522,Local strategic partnership
3527523,Management
3527524,Mass communication
3527525,Mass media
3527526,Measurement technique
3527527,Medical examination
3527528,Men's health
3527529,Mental health
3527530,Meta analysis
3527531,Migration
3527532,National curriculum
3527533,National organisation
3527534,Nature reserve
3527535,Needle exchange
3527536,Network
3527537,Non-verbal communication
3527538,Nomenclature of units for territorial statistics
3527539,Oral health
3527540,Organisational psychology
3527541,Organisation
3527542,Out of school activity
3527543,Outdoor air pollution
3527544,Outreach work
3527545,Parenting skill
3527546,Patient charter
3527547,People with mental health problem
3527548,Physical disability
3527549,Placebo
3527550,Police
3527551,Population size and density
3527552,Post code district
3527553,Pressure group
3527554,Prevalence
3527555,Pricing
3527556,Primary care organisation
3527557,Professional competence
3527558,Professional education and development
3527559,Professional organisation
3527560,Professional role
3527561,Population projection
3527562,"Public health methods, theory and research"
3527563,Public information
3527564,Public service
3527565,Qualification
3527566,Quality improvement
3527567,Randomised controlled trial
3527568,Regional policy
3527569,Regulation
3527570,Health research
3527571,Research group
3527572,Research project
3527573,Researcher
3527574,Residential care
3527575,Road safety
3527576,Road safety education
3527577,School counselling
3527578,School heath promotion
3527579,School meal
3527580,Secondary and tertiary service
3527581,Self advocacy
3527582,Use: self care
3527583,Service development
3527584,Service evaluation
3527585,Sex tourism
3527586,Sexual health
3527587,Sexual health promotion
3527588,Shift working
3527590,Sickness and absence policy
3527591,Sites of special scientific interest
3527592,Small business
3527593,Social capital
3527595,Social planning
3527596,Social study
3527597,Sociodemographic factor
3527598,Sports injury
3527599,Standard region
3527600,Stroke and TIA
3527601,Survival rate
3527602,Sustainable development
3527603,Teaching material
3527604,Tobacco control policy
3527605,Tobacco industry
3527606,Traffic regulation
3527607,Trainer
3527608,Training and enterprise council
3527609,Travel plan
3527610,Travel to work area
3527611,User choice
3527612,Vertical transmission
3527613,Frail older people
3527614,Vitamin supplement
3527615,Voluntary agencies national policy
3527616,Voluntary sector
3527618,Waiting area
3527619,Waste management
3527620,Weaning
3527621,Workplace health promotion
3527622,Workshop
3527623,Young adult
3527624,Young worker
3527635,Diabetes screening administration
3527644,Built environment
3527645,Career development
3527646,Disability equipment
3527647,Employment policy
3527648,Experiential learning
3527649,National Institute for Clinical Excellence
3527650,Qualification requirement
3527651,Social care
3527652,Theory
3527653,Black people
3527654,Colorectal cancer
3527656,Disability care
3527657,Prostitution
3527658,Violence
3527772,Agricultural pollution
3527774,Peer group
3527775,People with human immunodeficiency virus or acquired immune deficiency syndrome
3527776,Personal development
3527777,Spinal cord disease and disorder
3527778,Unemployed person
3527779,Unplanned service
3527780,Vehicle related air pollution
3527781,Well neonate
3527783,Chiropody
3527784,Donor
3527785,Equipment
3527786,Cluster
3527787,Line
3527788,National Health Service (NHS) Trust
3527789,Services
3527790,Surgery
3527791,Voluntary services
3527792,Independent provider
3527793,Plastic surgery
3528318,Ethnicity
3528319,Emergency services
3528357,Quarter 3 2008 INKERMAN
3528703,Quarter 1 2009 MANTINEA
3529924,Quarter 3 2009 MOLLWITZ
3530502,Hospital inpatient progress report
3530503,Hospital outpatient progress report
3530504,Inpatient nursing record
3530511,Multidisciplinary care conference report
3530534,Professional allied to medicine clinical report
3530536,Correspondence section
3533768,Other specified reports
3535098,Screening method NOS
3537615,Patient record types NOS
3542783,Death administration NOS
3542784,Mental health admin. NOS
3542785,Stress monitoring admin.NOS
3542787,Hormone replace monitoring NOS
3542788,Hypertension monitoring administration NOS
3542789,Diabetes monitoring administration NOS
3542790,Asthma monitoring administration NOS
3542791,"Clinic ""A"" monitoring admin."
3542792,Clinic A monitoring admin.NOS
3542793,"Clinic ""B"" monitoring admin."
3542794,Clinic B monitoring admin.NOS
3542795,"Clinic ""C"" monitoring admin."
3542796,Clinic C monitoring admin.NOS
3542797,"Clinic ""D"" monitoring administration"
3542798,Clinic D monitoring admin.NOS
3542799,Obesity monitoring admin.NOS
3542800,Geriatric monitor.admin.NOS
3542801,Stop smoking monitor admin.NOS
3542802,Well man monitor.admin.NOS
3542803,Well adult monitor.admin.NOS
3542804,Well woman monitor.admin.NOS
3542805,Training/seniority/leave NOS
3542806,Ancillary staff admin. NOS
3542807,Home visit admin NOS
3542808,"Patient ""call"" admin. NOS"
3542809,"Patient ""recall"" admin. NOS"
3542810,Administration NOS
3542811,Maternity services admin NOS
3542812,Certificates admin. NOS
3542813,Community charge administration NOS
3542814,Supply of drugs payment NOS
3542815,Accounting admin. NOS
3542817,Chronic disease monitoring administration NOS
3542818,Research administration NOS
3542819,Clinical trial admin. NOS
3542820,Items of service admin NOS
3542821,Other items of service administration
3542822,Child development check administration NOS
3542824,Prevention administration NOS
3542825,Adult immunisation administration NOS
3542826,Immunisation service administration NOS
3542827,Child immunisation administration NOS
3542828,Rubella antibody screening administration NOS
3542829,Influenza vaccination administration NOS
3542830,Diaphragm check administration NOS
3542831,Oral contraceptive check administration NOS
3542833,Intrauterine device follow-up administration
3542834,Intrauterine device follow-up administration NOS
3542835,Child surveillance administration NOS
3542836,Cervical smear admin. NOS
3542837,Adult screening administration NOS
3542838,Breast screening administration NOS
3542839,New patient screening administration NOS
3542840,Hypertension screening administration NOS
3542841,Geriatric screening administration NOS
3542858,Family history - heading
3542860,Patient registration data NOS
3542861,Screening invite medium NOS
3542866,Patient encounter data NOS
3542867,Patient administrative data NOS
3542868,Reimbursement - staff
3542871,Assessment
3542872,Referred encounter NOS
3543290,Medical follow-up
3543293,Staff employment contract
3543296,Private account
3543297,Emergency appointment
3543298,Screening method
3543300,Mental therapy follow-up
3543302,Training grant (& form: [FP45] or [GP45]))
3543387,Pathology report
3543406,Clinical report
3543408,Clinical procedure report
3543409,Operative report
3543410,Radiology report
3543414,Report of clinical encounter
3543415,Consent report
3543417,History and physical report
3543419,Clinical consultation report
3543423,Progress report
3543424,Dictated operative report
3543425,Conference report
3543427,Written operative report
3543428,Supervising physician report
3543429,Admission history and physical report
3543430,Provider comment report
3543431,Summary clinical document
3543432,Summary report
3543434,Transfer summary report
3543739,Flow sheet report
3544968,Miscarriage surgical care management care plan
3546332,Clinical letter
3549577,Immunisation claim (& record): [FP73] or [GP73]
3549594,Health promotion clinic form : [FP/HPC] or [GP/HPC]
3549647,GP/RF registration claim
3549864,Arrest of dental h'ge : [FP82] or [GP82]
3549892,Passport application (& [signing] or [Form A])
3549902,Referred for accomodation: [Part 3] or [Part 4]
3549928,Smear normal - patient notified
3549930,Orange badge administration - disabled driver
3550541,GP out of hours service notified
3554225,Discontinued repeat medication
3554288,Smear abnormal - pt. notified
3554297,Cervical smear screening first letter
3554298,Cervical smear screening second letter
3554299,Cervical smear screening verbal invitation
3554300,Cervical smear screening telephone invitation
3554937,Care pathway
3555504,Information system
3558354,Foreign travel immunisation patient fee
3559180,Leg ulcer care pathway
3562618,Monitoring
3562650,Chronic kidney disease monitoring administration
3562658,Neighbourhood renewal
3562660,Well woman clinic administration
3562688,Atrial fibrillation monitoring administration
3562701,Water quality
3562722,Scenario planning
3562725,Child surveillance administration
3562730,Medical examinations/reports administration
3562754,Reason for discharge
3562781,Leisure time
3562791,Comparative study
3562808,Programme
3562822,People with disability
3562825,Chronic disease administration
3562869,Office of national statistics area classification
3562893,Geographical information system
3562903,Intermediate service
3562935,Urban development
3562940,Socioeconomic policy
3562953,Patient recall administration
3562955,Lifelong learning
3562967,Adult health screening administration
3562969,FP/CHS-Paed surveillance form administration
3562976,Public health worker
3563007,Audit administration
3563014,Constituency
3563015,Growth
3563019,Economics
3563042,Treatment
3563048,Area based initiative
3563053,"Communicable diseases, dermatological"
3563061,Registered general practitioner
3563095,Retirement
3563122,Socioeconomic factor
3563128,Race relations
3563143,Developing country
3563154,Time modifiers
3563161,Physiology
3563205,Intrauterine device follow-up administration
3563253,Letter with patient
3563269,World Health Organisation region
3563292,Performance monitoring
3563294,Prevention/screening administration
3563295,Entire record available to originator
3563296,Women's health
3563314,Social policy
3563319,Stroke/transient ischaemic attack monitoring administration
3563355,Habitual behaviour
3563360,Cultural identity
3563376,Health insurance
3563428,Clinic monitoring administration
3563446,Problems
3563472,Method
3563526,Focus group
3563531,Evidence based health care
3563550,Educational system
3563551,Social mobility
3563560,Plan
3563579,Passive smoking
3563580,Private sector
3563584,National policy
3563590,"Public, private partnership"
3563591,Heart failure monitoring administration
3563612,Life expectancy
3563624,Systematic review
3563669,Actions
3563670,Economic indicator
3563725,Communication
3563742,Policy evaluation
3563754,Health economics
3563789,Epidemiological measurement
3563806,Social determinant
3563827,Hormone replacement monitoring administration
3563837,"Communicable diseases, bacterial"
3563872,Quarter 2 1995 April RADIATOR
3563888,Discrimination
3563889,Population structure
3563899,Cooking
3563917,Geology and topography
3563938,Service planning
3563980,Evidence based medicine
3563999,Child welfare
3564006,Consumer
3564014,Breast screening administration
3564033,Sea transport
3564035,Lobbying
3564050,Advanced directive administration
3564058,National Public Health Classification data
3564094,FP/RF new registration check administration
3564129,Crime reduction
3564154,Diaphragm check follow-up administration
3564170,Healthy living centre
3564174,Changes since last communication originator and recipient
3564181,Abstract problem node
3564190,Deaf and blind
3564191,European Union
3564221,Policy formulation
3564235,Crime
3564239,Non profit organisation
3564255,Asian people
3564258,At risk of
3564261,Racism
3564271,Gynaecology
3564274,Public service vehicle driver administration
3564294,Farmers market
3564296,Training/seniority/leave administration
3564344,Assisted conception
3564347,Casual employment
3564366,Exercise referral scheme
3564393,Screening invite medium NOS
3564411,GP/RF-new patient check administration
3564416,Maternity service administration
3564418,Homophobic
3564420,Microbicide
3564472,History
3564487,Cervical smear screening appointment reminder
3564520,Liverpool care pathway for the dying
3564527,Mobile phone
3564529,Mental and behavioural disorder
3564550,Cost
3564554,Anthropology
3564556,National aspect
3564591,Birth rate
3564638,Laboratory report
3564641,Activity data
3564685,Role views
3564723,Marketing
3564734,Sexual practice
3564745,Armed forces
3564779,Health promotion professional
3564791,Teenage parent
3564799,Private finance initiative
3564804,Pharmaceutical industry
3564836,Research design
3564856,Trade union
3564858,Health planning
3564874,Central government
3564876,Patient encounter data NOS
3564892,Entries to the record made between specified dates
3564900,Disease monitoring administration
3564904,Home visit administration
3564916,Healthcare and health services
3564930,Food cooperative
3564932,Housing standard
3564938,Key stage
3564959,Inequality
3564973,UK health policy
3564976,Self help group
3564980,Food standard
3565010,Transmission
3565014,Health outcome
3565017,Seniority payment administration
3565018,GP/PS3 notification change post hold
3565026,Patient contact administration
3565032,Health equity audit
3565051,Mental health administration
3565057,Nursery school
3565075,Legislation
3565078,Rail transport
3565079,Ophthalmic service
3565080,Communication and knowledge
3565081,Paedophile
3565093,Heavy goods vehicle driver administration
3565098,Asthma clinic administration
3565107,Growth disorder
3565122,Social inequality
3565144,Government and law
3565145,Knowledge management
3565148,Accident and emergency service
3565161,Boarded out child examination administration
3565162,School health service
3565171,Obesity clinic administration
3565185,Public health observatory
3565213,Electoral ward
3565229,Community care
3565235,Rubella antibody screening administration
3565244,Pre-retirement
3565248,Private transport
3565268,Youth unemployment
3565269,Workplace
3565319,Diagnostic imaging procedure report
3565343,Industrial pollution
3565350,Participation
3565358,Medicine
3565423,Diagnostic imaging report
3565437,Food production and quality
3565438,Socioeconomic status
3565463,Housing
3565522,Quarter 4 1996 NANCHANG
3565550,Alerts
3565568,Health behaviour
3565576,Data
3565577,Contraception administration
3565605,Professional practice
3565614,Qualitative research
3565620,Immunisation administration
3565646,Fluoridation
3565647,Clinical administration
3565656,Population based and preventive services
3565657,Social network
3565666,Occupational health and safety
3565671,Risks and warnings highlighting act
3565703,Hotel and restaurant industry
3565716,Quality standard
3565719,Data analysis
3565721,Adult immunisation administration
3565741,Examination findings
3565751,Rural development
3565756,Patient admin. data NOS
3565758,Alcohol related harm
3565769,Dance
3565773,Pharmaceutical service
3565776,Mass media campaign
3565801,Seniority administration
3565810,Solicitors court attendance administration
3565824,Discussion technique
3565835,Internet
3565839,Screening
3565862,Developmental screening
3565875,Obesity monitoring administration
3565888,Community cafe
3565897,Record transfer administration
3565900,New patient screening administration
3565917,Health protection
3565937,Partnership working
3565938,Drug addict notification administration
3565957,Canteen
3566021,Bill/fee administration
3566028,Screening invite medium
3566029,Healthy life expectancy
3566038,Health and safety commission region
3566047,School travel plan
3566053,Forces recruitment medical administration
3566077,Mental Health Act 1983 (England and Wales) section 5 nearest relative recommendation form
3566085,Pretesting
3566101,Neighbourhood
3566117,Purchaser
3566142,Government
3566191,Material design and development
3566207,Cervical smear screening administration
3566228,"Economics, finance and industry"
3566239,Geriatric monitoring administration
3566254,Psychiatry
3566264,Minor surgery claim administration
3566310,Preconception
3566316,Diagnostic imaging summary report
3566333,Bill/fee paid
3566417,Patient advice
3566463,Local authority
3566465,Hypertension monitoring administration
3566482,Management and policy
3566487,Genetic modification
3566505,Past actions
3566554,Practice supplies administration
3566624,Report administration
3566626,Prisoner
3566649,Public health organisation
3566656,Post code sector
3566660,Community disease modifying antirheumatic drug monitoring appointment
3566661,Social services
3566673,Seat belt exemption administration
3566713,Request form or letter sent by mail/email
3566714,Strategic planning
3566730,Dieting for weight loss
3566731,Non-vocational qualification
